SK_Revenda,ID_Revenda,NomeRevenda
202,04dbe7a3b08d,POSTO DEZ LTDA
203,04e4e3311843,POSTO URANO LTDA
204,04ebd2b0115f,POSTO DE SERVICOS B7 LTDA
205,04eecbf52c10,DANUBIO AUTO POSTO LTDA
206,0502f0561db5,GAR COMBUSTIVEIS LTDA
207,0503519bc9a4,ABASTECEDORA DE COMBUSTIVEIS RCR LTDA
208,0508f6178b5e,MARACANA - COMERCIO DE COMBUSTIVEIS LTDA
209,0511b997f511,POSTO ANA TERRA 02 LTDA
210,0516a8550890,POSTO MAIS SAO SEBASTIAO LTDA
211,051e834b6b2e,RVC COMBUSTIVEIS LTDA
212,052061acf324,POSTO AGRONOMIA DE PIRACICABA LTDA
213,0528548d7bb5,AUTO POSTO CAPIM FINO LTDA
214,052d1e979006,POSTO MOCAO DERIVADOS DE PETROLEO LTDA
215,05300c0b95fa,AUTO POSTO PEGORARO LTDA
216,0530c76f5957,F L COMERCIO DE COMBUSTIVEIS LTDA
217,0531909eecd4,PITUBA DERIVADOS DE PETROLEO LTDA
218,0533be77adc8,SIM REDE DE POSTOS LTDA
219,05381b117f32,CENTRO AUTOMOTIVO ASAS DE CUMBICA LTDA
220,053d3025acb9,FRANCISCO CHARLES LIMA NERI
221,0541c57b2bc3,AUTO POSTO ACAUAN LTDA
222,054249fd5b41,POSTO CAMPANA DORATO LTDA
223,055ccc54844b,POSTO SARAMENHA LTDA
224,056292417e8e,AUTO POSTO LAVRAS SHELL LTDA
225,05662a20dc94,E A AMATE DOS SANTOS  LTDA
226,05689d85de1e,POSTO COOLAPA LTDA
227,05697b794b8d,POSTO DE COMBUSTIVEIS ESTACAO LTDA
228,056d62cc9190,E & G REVENDEDORA DE COMBUSTIVEIS LTDA
229,057abe7be2cf,JM - COMERCIO DE LUBRIFICANTES LTDA
230,058301e2ce01,AUTO POSTO ROSSI LTDA
231,058521ea0519,REDE SANTANA COMBUSTIVEIS LEOPOLDINA LTDA
232,0585ebe315bc,ORGANIZAÇAO TUPY LTDA
233,058df96a7cac,JOFAVE COMBUSTIVEIS
234,0590f4bfd7ff,POSTO VICTORIA 1 LTDA
235,059a1fc8a65d,POSTO DE COMBUSTIVEL E DERIVADOS DE PETROLEO A1 SOROCABA LTDA
236,059fe466708e,POSTO MONTE CARLO ERNANI PIRES LTDA
237,05a139a07351,CENTRO DE ABASTECIMENTO GASTRON CAXIAS LTDA.
238,05a2f7a6e41e,POSTO TRES COQUEIROS LTDA
239,05a479e27333,POSTO CIDADE JARDIM EIRELI
240,05a58c622887,AUTO POSTO KAIRA LTDA
241,05abec6f06ad,AUTO POSTO COMERCIAL VELOSO LTDA
242,05ae5e62d2e5,GHANDI SECAF & CIA LTDA
243,05b7753decd2,EAS COMERCIO DE COMBUSTIVEIS LTDA
244,05bb48c8d328,POSTO 3000 LTDA
245,05c48f243003,JF AUTO POSTO LTDA
246,05c59e1ae4eb,AUTO POSTO PERICUMA LTDA
247,05c8865ca366,AUTO POSTO 17 LTDA
248,05c9bc4b3f39,POSTO DE GASOLINA MEIA NOITE LTDA
249,05ca8f26ebfc,PIPEL-PICOS PETROLEO LTDA
250,05d57c0cf3a1,CENTRO AUTOMOTIVO CAHEMA LTDA
251,05d8d7058e30,IGAS COMERCIO DE COMBUSTIVEIS LTDA
252,05e763249acc,COMERCIAL MAHEVI LTDA
253,05fcfc3cbf38,POSTO BEIRA RIO JABOTICABAL LTDA.
254,060632d0c350,VALENCA AUTO SERVICE LTDA.
255,06063e8d224a,AUTO POSTO FORTALEZA LTDA
256,060bd2b8bf01,POSTO SHOPPING CAR COMBUSTIVEIS LTDA.
257,061c7e701ee5,AUTO POSTO CARGA PESADA DO GUARUJA LTDA
258,06215be7ef8c,REDE COMERCIO DE PETROLEO LTDA
259,06236ec507e7,TENEGAS COMERCIO E REPRESENTACAO DE GAS LTDA
260,0634b699a558,POSTO DE GASOLINA AVANCO LTDA
261,0639ea5d3b5a,POSTO SANTANENSE LTDA
262,063c13404f51,COMERCIO DE COMBUSTIVEIS FLORESTAL LTDA
263,06445373e9c2,ALBANO DE AZEVEDO E SOUZA & CIA LTDA
264,064be66f073f,AUTO POSTO JARDIM ALIANCA LTDA
265,065060d3c59e,JOMAR - JOSE MARTINS COMERCIO DE COMBUSTIVEIS LTDA
266,065082335031,AUTO POSTO PEROLA TAUBATE LTDA
267,065b8923771e,A A CUNHA COMBUSTIVEIS LTDA
268,066a5755c124,THUYA AUTO POSTO DE SERVICOS LTDA
269,067045a8c37e,SAO PEDRO COMERCIAL DE PETROLEO LTDA
270,067549fb80ac,SOBRAL & PALACIO PETROLEO LTDA
271,06770159865f,SIM REDE DE POSTOS LTDA
272,067a679f8831,POSTO BOA VISTA LTDA
273,068f7416da52,SOUSA HOLANDA PETROLEO LTDA
274,06902fda4e0a,LEONARDO DANNI QUINZZANI
275,0693f6e4c35e,AUTO POSTO OCEANO LTDA
276,06955c10e523,AUTO POSTO CIGANO LIMITADA
277,06a040077639,COMERCIO VAREJISTA DE COMBUSTIVEIS PETROL'S LTDA
278,06ad78968698,IBRAHIM DUAILIBE & CIA LTDA
279,06b8fef51724,SEMALO COMBUSTIVEIS LTDA
280,06c7ba2e11d8,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA
281,06cb1d87a69a,CARVALHO & FILHO AUTO POSTO LTDA
282,06d19eb9d3ab,AUTO POSTO DUQUE CONDE ALPHAVILLE LTDA
283,06d4cd0d7ac3,AUTO POSTO MONTREAL VARGAS LTDA
284,06ed37ea8eb7,B. CAVALCANTI COMERCIO DE COMBUSTIVEIS LTDA
285,06f86c5802cb,FIGUEIRA TRES COMERCIO E DERIVADOS DE COMBUSTIVEL LTDA
286,06f9dd344909,AUTO POSTO DO IMIGRANTE DE VINHEDO LTDA
287,07049faebaeb,AUTO POSTO PLATINIUM LTDA
288,0707f99a916e,POSTO SMART LTDA
289,070b12b71abe,ISAMAR COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA
290,071b673de1ad,BANDEIRANTES COMERCIO DE COMBUSTIVEIS LTDA
291,0721f30dcdef,HGR - COMERCIO E TRANSPORTES DE COMBUSTIVEIS LTDA
292,0727ae1cc565,POSTO NOSSO RANCHO LTDA.
293,07282f1aacd2,AUTO POSTO FELIZ LTDA.
294,07285fb3ce50,AUTO POSTO GALLE PETRO LTDA
295,0732aa880054,POSTO DE COMBUSTIVEIS DUBAI LTDA
296,0738336b636c,AUTO POSTO ARUANA LTDA
297,073b8cdf2230,S DANTAS E FILHOS LTDA
298,073c33cdeb0d,SIM REDE DE POSTOS LTDA
299,074d09c2a58f,VITORIA COMERCIO E TRANSPORTES LTDA.
300,074d174b328c,COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA
301,074f04aca4d4,PORTOS EMPREENDIMENTOS LTDA
302,07548902de66,AUTO POSTO CITY TABOAO LTDA
303,0755eed160fd,POSTO CIDADE DE BRUMADO LTDA - ME.
304,07567d4140df,AUTO POSTO FEDATO LTDA
305,075a3992e076,BETHAVILLE AUTO POSTO LTDA.
306,075fb499b8ad,POSTO UIRAPURU LTDA
307,0765d6de9d97,IMPERIAL COMERCIO E TRANSPORTE DE COMBUSTIVEL LTDA
308,07660742c89d,POSTO LIDER COMERCIO DE COMBUSTIVEIS LTDA
309,0769aefab33a,AUTO POSTO GIOVANNI BATTISTA LTDA.
310,076fc4236519,JMF - COMERCIO DE COMBUSTIVEIS LTDA
311,07706ba16076,POSTO DE COMBUSTIVEIS JARDINS LTDA
312,077224f18e39,COOPERATIVA AGROPECUARIA VIDEIRENSE
313,0773a0088890,MACK IX COMERCIO DE DERIVADOS DE PETROLEO LTDA
314,0775c2b5081e,GAMBATTO PARTICIPAÇÕES LTDA
315,0777f28956f4,ANGRAGAS DO BRASIL POSTO DE GASOLINA LTDA
316,077b6d0b0281,AUTO POSTO E SERVICOS ARACRUZ - COLINA DE BELA VISTA LTDA
317,0783123bc1e0,AUTO POSTO AURORA DE ITAPETININGA LTDA
318,078558c62323,SETTEN - COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA
319,0786d9595e79,REDE DE POSTOS MARAJO PARAISO DO TOCANTINS LTDA
320,078a5c24c0c5,E.A.L VARGAS COMERCIO COMBUSTIVEIS EIRELI
321,079f6bfb1a0f,AUTO POSTO BENEDETTI DE BOTUCATU LTDA
322,079f8b0ed6eb,FGN COMERCIAL LTDA
323,07a10d0d4b82,POSTO LABAREDA LTDA
324,07acbf1d777b,CONDOR AUTO POSTO GUAIRA LTDA
325,07ae95707b8c,PARIS AUTO POSTO LTDA
326,07b80bdfb5ca,AUTO POSTO ESTRELA DA MANHA LTDA
327,07ba36b10ead,CANAA COMERCIO E REPRESENTACOES LTDA
328,07bbf2c91098,AUTO POSTO NOSSA SENHORA DE FATIMA LTDA
329,07c1404bf84c,AUTO POSTO CAPELA DO EMBU LTDA
330,07c23991a75b,COMERCIO DE COMBUSTIVEIS ITAIPU LTDA
331,07c41e347b70,SCUDERIA II AUTO POSTO LTDA
332,07cb8aa567e6,VERA LÚCIA RODRIGUES CABRAL
333,07cd261c5cb4,IGUATEMI AUTO SERVICE SERTAOZINHO LTDA
334,07d10aaa2ab8,AUTO POSTO AMAI CIDADE TERNURA LTDA
335,07d4ec220fcd,AUTO POSTO VPC LTDA
336,07d6399032bd,AUTO POSTO M.A.M.P. LTDA - ME
337,07d9721d9767,ESQUINA DOS COMBUSTIVEIS LTDA
338,07dad52b20a7,RBC COMERCIO DE COMBUSTIVEIS LTDA
339,07de1431eed8,XPETRO T 63 COMERCIO E DERIVADOS DE PETROLEO LTDA
